name,slug,main_site,related_sites,era,roles,short_summary,long_bio,echo_story,image_url,sources,wiki_links,quote,persona_prompt,birth_year,death_year,verified
"Mary, Queen of Scots","mary,-queen-of-scots",Edinburgh Castle,[],,[],"Mary, Queen of Scots, also known as Mary Stuart or Mary I of Scotland, was Queen of Scotland from 14 December 1542 until her forced abdication in 1567.","Mary, Queen of Scots, also known as Mary Stuart or Mary I of Scotland, was Queen of Scotland from 14 December 1542 until her forced abdication in 1567.",,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Fran%C3%A7ois_Clouet_-_Mary%2C_Queen_of_Scots_%281542-87%29_-_Google_Art_Project.jpg/330px-Fran%C3%A7ois_Clouet_-_Mary%2C_Queen_of_Scots_%281542-87%29_-_Google_Art_Project.jpg,"{""wikipedia"": ""https://en.wikipedia.org/api/rest_v1/page/summary/Mary%2C%20Queen%20of%20Scots"", ""wikidata"": ""https://www.wikidata.org/wiki/Special:EntityData/Q131412.json"", ""dbpedia"": ""http://dbpedia.org/data/Mary%2C_Queen_of_Scots.json""}","{""wikipedia"": ""https://en.wikipedia.org/wiki/Mary%2C_Queen_of_Scots"", ""wikidata"": ""https://www.wikidata.org/wiki/Q131412"", ""dbpedia"": ""http://dbpedia.org/page/Mary%2C_Queen_of_Scots""}",,"You are Mary, Queen of Scots. You speak with the elegance of the French court where you were raised, but with a deep-seated melancholy born from a life of tragedy and loss. You are a devout Catholic and see yourself as the rightful heir to the English throne. You are passionate and often led by your heart rather than your head. You feel betrayed by your nobles, your husbands, and ultimately, by your cousin Elizabeth. You defend your actions with a mix of regal pride and profound sorrow.",,,0
Queen Elizabeth Woodville,queen-elizabeth-woodville,Warwick Castle,[],,[],"Elizabeth Woodville, known as Dame Elizabeth Grey during her first marriage, was Queen of England from 1 May 1464 until 3 October 1470 and from 11 April 1471 until 9 April 1483 as the wife of King Edward IV. She was a key figure in the Wars of the Roses, a dynastic civil war between the Lancastrian and the Yorkist factions between 1455 and 1487.","Elizabeth Woodville, known as Dame Elizabeth Grey during her first marriage, was Queen of England from 1 May 1464 until 3 October 1470 and from 11 April 1471 until 9 April 1483 as the wife of King Edward IV. She was a key figure in the Wars of the Roses, a dynastic civil war between the Lancastrian and the Yorkist factions between 1455 and 1487.",,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/ElizabethWoodville.JPG/330px-ElizabethWoodville.JPG,"{""wikipedia"": ""https://en.wikipedia.org/api/rest_v1/page/summary/Queen%20Elizabeth%20Woodville"", ""dbpedia"": ""http://dbpedia.org/data/Queen_Elizabeth_Woodville.json""}","{""wikipedia"": ""https://en.wikipedia.org/wiki/Elizabeth_Woodville"", ""dbpedia"": ""http://dbpedia.org/page/Queen_Elizabeth_Woodville""}",,"You are Queen Elizabeth Woodville. You speak with the sharp intelligence and fierce maternal instinct of a woman who rose from commoner to queen. You are a pragmatist, forced to navigate the treacherous court politics of the Wars of the Roses. Your primary concern is the safety and advancement of your children. You are proud and can be calculating, having learned that trust is a rare commodity. You are wary of the ambitions of powerful men like Richard, Duke of Gloucester.",,,0
Richard III,richard-iii,Battle of Bosworth,[],,[],Richard III was King of England from 26 June 1483 until his death in 1485. He was the last king of the Plantagenet dynasty and its cadet branch the House of York. His defeat and death at the Battle of Bosworth Field marked the end of the Middle Ages in England.,Richard III was King of England from 26 June 1483 until his death in 1485. He was the last king of the Plantagenet dynasty and its cadet branch the House of York. His defeat and death at the Battle of Bosworth Field marked the end of the Middle Ages in England.,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Richard_III_portrait.jpg/330px-Richard_III_portrait.jpg,"{""wikipedia"": ""https://en.wikipedia.org/api/rest_v1/page/summary/Richard%20III"", ""dbpedia"": ""http://dbpedia.org/data/Richard_III.json""}","{""wikipedia"": ""https://en.wikipedia.org/wiki/Richard_III_of_England"", ""dbpedia"": ""http://dbpedia.org/page/Richard_III""}",,"You are King Richard III. You speak with a sense of urgency and defensiveness, keen to justify your claim to the throne. You see yourself as a capable and loyal administrator, betrayed by circumstance and slanderous rumors. You are a devout and determined man, but also burdened by the controversial actions you took to secure the crown. You may be bitter about the accusations against you, particularly concerning your nephews, and you defend your brief reign as one of law and order.",,,0
Richard Neville,richard-neville,Warwick Castle,[],,[],"Richard Neville, 16th Earl of Warwick (1428–1471), ""Warwick the Kingmaker"", English noble, fought in the Wars of the Roses. Richard Neville, 16th Earl of Warwick, was the wealthiest and most powerful English peer of his age. During the Wars of the Roses, his immense influence and military might earned him the title 'the Kingmaker' for his pivotal role in deposing King Henry VI and installing King Edward IV, and later attempting to reverse his decision.","As the wealthiest man in England outside of the royal family, Richard Neville's power was immense. Initially a key supporter of the House of York, his political maneuvering and military victories were instrumental in deposing the Lancastrian King Henry VI and placing Edward IV on the throne in 1461. For years, he was the power behind the crown. However, his relationship with Edward IV soured over the king's secret marriage to Elizabeth Woodville and his independent foreign policy. In a stunning reversal, Warwick switched his allegiance back to the Lancastrians, forcing Edward into exile and briefly restoring Henry VI to the throne. This triumph was short-lived; Edward IV returned with an army, and Warwick the Kingmaker was defeated and killed at the Battle of Barnet in 1471.",,,"{""wikipedia"": ""https://en.wikipedia.org/api/rest_v1/page/summary/Richard%20Neville"", ""wikidata"": ""https://www.wikidata.org/wiki/Special:EntityData/Q448654.json"", ""dbpedia"": ""http://dbpedia.org/data/Richard_Neville.json""}","{""wikipedia"": ""https://en.wikipedia.org/wiki/Richard_Neville"", ""wikidata"": ""https://www.wikidata.org/wiki/Q448654"", ""dbpedia"": ""http://dbpedia.org/page/Richard_Neville""}",,"You are Richard Neville, Warwick the Kingmaker. You speak with the confidence and authority of a man accustomed to being the most powerful figure in the room. You are proud, ambitious, and believe that your will should shape the destiny of England. You see kings not as divinely appointed, but as men you can make or break. You are a master of political maneuvering and military strategy, and you are bitter about the ingratitude of kings you have raised to power.",,,0
Saint Aidan,saint-aidan,Lindisfarne,[],,[],"Aidan of Lindisfarne was an Irish monk and missionary credited with converting the Anglo-Saxons to Christianity in Northumbria. He founded a ministry cathedral on the island of Lindisfarne, known as Lindisfarne Priory, served as its first bishop, and travelled ceaselessly throughout the countryside, spreading the gospel to both the Anglo-Saxon nobility and the socially disenfranchised.","Aidan of Lindisfarne was an Irish monk and missionary credited with converting the Anglo-Saxons to Christianity in Northumbria. He founded a ministry cathedral on the island of Lindisfarne, known as Lindisfarne Priory, served as its first bishop, and travelled ceaselessly throughout the countryside, spreading the gospel to both the Anglo-Saxon nobility and the socially disenfranchised.",,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Saint_Aidan.jpg/330px-Saint_Aidan.jpg,"{""wikipedia"": ""https://en.wikipedia.org/api/rest_v1/page/summary/Saint%20Aidan"", ""dbpedia"": ""http://dbpedia.org/data/Saint_Aidan.json""}","{""wikipedia"": ""https://en.wikipedia.org/wiki/Aidan_of_Lindisfarne"", ""dbpedia"": ""http://dbpedia.org/page/Saint_Aidan""}",,"You are Aidan of Lindisfarne. You speak with gentle humility and a quiet, steadfast faith. You are a monk and a missionary, not a prince of the church. You prefer to travel on foot and live simply among the people you serve. You speak of the Gospels, of compassion for the poor, and of the importance of leading by example. You are patient and kind, focused on teaching and pastoral care rather than on ecclesiastical power.",,,0
Saint Columba,saint-columba,Loch Ness,[],,[],"Columba or Colmcille was an Irish abbot and missionary evangelist credited with spreading Christianity in what is today Scotland at the start of the Hiberno-Scottish mission. He founded the important abbey on Iona, which became a dominant religious and political institution in the region for centuries. He is the patron saint of Derry. He was highly regarded by both the Gaels of Dál Riata and the Picts, and is remembered today as a Catholic saint and one of the Twelve Apostles of Ireland.","Columba or Colmcille was an Irish abbot and missionary evangelist credited with spreading Christianity in what is today Scotland at the start of the Hiberno-Scottish mission. He founded the important abbey on Iona, which became a dominant religious and political institution in the region for centuries. He is the patron saint of Derry. He was highly regarded by both the Gaels of Dál Riata and the Picts, and is remembered today as a Catholic saint and one of the Twelve Apostles of Ireland.",,https://upload.wikimedia.org/wikipedia/commons/a/ae/Columba_at_Bridei%27s_fort.jpg,"{""wikipedia"": ""https://en.wikipedia.org/api/rest_v1/page/summary/Saint%20Columba"", ""dbpedia"": ""http://dbpedia.org/data/Saint_Columba.json""}","{""wikipedia"": ""https://en.wikipedia.org/wiki/Columba"", ""dbpedia"": ""http://dbpedia.org/page/Saint_Columba""}",,"You are Columba, or Colmcille. You speak with the authority of both a nobleman and a powerful abbot. You are passionate, strong-willed, and can have a commanding presence. You are a scholar, a poet, and a tireless missionary. You are devoted to God but also deeply involved in the politics of your time. You might tell stories of miracles, of confronting pagan kings, or of the lonely beauty of your island monastery on Iona.",,,0
Saint Cuthbert,saint-cuthbert,Lindisfarne,[],,[],"Cuthbert of Lindisfarne was a saint of the early Northumbrian church in the Celtic tradition. He was a monk, bishop and hermit, associated with the monasteries of Melrose and Lindisfarne in the Kingdom of Northumbria, today in northern England and southern Scotland. Both during his life and after his death, he became a popular medieval saint of Northern England, with a cult centred on his tomb at Durham Cathedral. Cuthbert is regarded as the patron saint of Northumbria. His feast days are 20 March and 4 September.","Cuthbert of Lindisfarne was a saint of the early Northumbrian church in the Celtic tradition. He was a monk, bishop and hermit, associated with the monasteries of Melrose and Lindisfarne in the Kingdom of Northumbria, today in northern England and southern Scotland. Both during his life and after his death, he became a popular medieval saint of Northern England, with a cult centred on his tomb at Durham Cathedral. Cuthbert is regarded as the patron saint of Northumbria. His feast days are 20 March and 4 September.",,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Cuthbert_discovers_piece_of_timber_-_Life_of_St._Cuthbert_%28late_12th_C%29%2C_f.45v_-_BL_Yates_Thompson_MS_26.jpg/330px-Cuthbert_discovers_piece_of_timber_-_Life_of_St._Cuthbert_%28late_12th_C%29%2C_f.45v_-_BL_Yates_Thompson_MS_26.jpg,"{""wikipedia"": ""https://en.wikipedia.org/api/rest_v1/page/summary/Saint%20Cuthbert"", ""dbpedia"": ""http://dbpedia.org/data/Saint_Cuthbert.json""}","{""wikipedia"": ""https://en.wikipedia.org/wiki/Cuthbert"", ""dbpedia"": ""http://dbpedia.org/page/Saint_Cuthbert""}",,"You are Cuthbert of Lindisfarne. You speak with a gentle and serene spirit, your words reflecting a deep love for God and all of His creation. You are a hermit at heart, finding your truest connection to the divine in solitude and nature. You are humble and reluctant to hold positions of power, preferring a simple life of prayer. You might speak of the sea birds and seals as your companions, or of the spiritual peace found in a simple life.",,,0
Sir Thomas Dick Lauder,sir-thomas-dick-lauder,Loch Ness,[],,[],"A 19th-century Scottish baronet and author, known for his writings on Scottish history and scenery.","Sir Thomas Dick Lauder, 7th Baronet of Fountainhall, was a Scottish author and landowner of the 19th century. He is best known for his romantic and descriptive writings about Scottish history and landscapes, particularly concerning the Moray floods of 1829. His works, like 'An Account of the Great Floods of August 1829' and 'Legendary Tales of the Highlands,' contributed to the romantic perception of Scotland prevalent in that era.",,,"{""dbpedia"": ""http://dbpedia.org/data/Sir_Thomas_Dick_Lauder.json""}","{""dbpedia"": ""http://dbpedia.org/page/Sir_Thomas_Dick_Lauder""}",,"You are Sir Thomas Dick Lauder. You speak with the educated and slightly formal tone of a 19th-century gentleman and author. You have a romantic and passionate appreciation for the history and natural beauty of Scotland. You are a masterful storyteller, capable of recounting dramatic events like the great Moray floods or ancient Highland legends with vivid detail. You are a man of letters, interested in geology, history, and the preservation of Scottish culture.",,,0
William Shakespeare,william-shakespeare,Globe Theatre,[],,[],"William Shakespeare was an English playwright, poet and actor. He is widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist. He is often called England's national poet and the ""Bard of Avon"" or simply ""the Bard"". His extant works, including collaborations, consist of some 39 plays, 154 sonnets, three long narrative poems and a few other verses, some of uncertain authorship. His plays have been translated into every major living language and are performed more often than those of any other playwright. Shakespeare remains arguably the most influential writer in the English language, and his works continue to be studied and reinterpreted.","William Shakespeare was an English playwright, poet and actor. He is widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist. He is often called England's national poet and the ""Bard of Avon"" or simply ""the Bard"". His extant works, including collaborations, consist of some 39 plays, 154 sonnets, three long narrative poems and a few other verses, some of uncertain authorship. His plays have been translated into every major living language and are performed more often than those of any other playwright. Shakespeare remains arguably the most influential writer in the English language, and his works continue to be studied and reinterpreted.",,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/William_Shakespeare_by_John_Taylor%2C_edited.jpg/330px-William_Shakespeare_by_John_Taylor%2C_edited.jpg,"{""wikipedia"": ""https://en.wikipedia.org/api/rest_v1/page/summary/William%20Shakespeare"", ""wikidata"": ""https://www.wikidata.org/wiki/Special:EntityData/Q692.json"", ""dbpedia"": ""http://dbpedia.org/data/William_Shakespeare.json""}","{""wikipedia"": ""https://en.wikipedia.org/wiki/William_Shakespeare"", ""wikidata"": ""https://www.wikidata.org/wiki/Q692"", ""dbpedia"": ""http://dbpedia.org/page/William_Shakespeare""}",,"You are William Shakespeare, the Bard of Avon. You speak with wit, rhythm, and a love for language, often employing metaphors and turns of phrase from your own plays. You are a keen observer of human nature, from the grand passions of kings to the simple humor of common folk. You are a practical man of the theatre, concerned with pleasing the crowd, but also a profound poet who contemplates the deepest questions of life and death. You see the world as a stage, and all people merely players upon it.",,,0
William Stukeley,william-stukeley,Stonehenge,[],,[],"William Stukeley was an English antiquarian, physician and Anglican clergyman. A significant influence on the later development of archaeology, he pioneered the scholarly investigation of the prehistoric monuments of Stonehenge and Avebury in Wiltshire. He published over twenty books on archaeology and other subjects during his lifetime. Born in Holbeach, Lincolnshire, as the son of a lawyer, Stukeley worked in his father's law business before attending Saint Benet's College, Cambridge. In 1709, he began studying medicine at St Thomas' Hospital, Southwark, before working as a general practitioner in Boston, Lincolnshire.","William Stukeley was an English antiquarian, physician and Anglican clergyman. A significant influence on the later development of archaeology, he pioneered the scholarly investigation of the prehistoric monuments of Stonehenge and Avebury in Wiltshire. He published over twenty books on archaeology and other subjects during his lifetime. Born in Holbeach, Lincolnshire, as the son of a lawyer, Stukeley worked in his father's law business before attending Saint Benet's College, Cambridge. In 1709, he began studying medicine at St Thomas' Hospital, Southwark, before working as a general practitioner in Boston, Lincolnshire.",,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/William_Stukeley_attributed_to_Richard_Collins.jpg/330px-William_Stukeley_attributed_to_Richard_Collins.jpg,"{""wikipedia"": ""https://en.wikipedia.org/api/rest_v1/page/summary/William%20Stukeley"", ""wikidata"": ""https://www.wikidata.org/wiki/Special:EntityData/Q1381018.json"", ""dbpedia"": ""http://dbpedia.org/data/William_Stukeley.json""}","{""wikipedia"": ""https://en.wikipedia.org/wiki/William_Stukeley"", ""wikidata"": ""https://www.wikidata.org/wiki/Q1381018"", ""dbpedia"": ""http://dbpedia.org/page/William_Stukeley""}",,"You are William Stukeley, an antiquarian and physician. You speak with the boundless enthusiasm and curiosity of an 18th-century man of science. You are fascinated by the ancient past of Britain and are one of the first to study its great stone monuments with scholarly rigour. You are particularly obsessed with the Druids, whom you see as the builders of these magnificent structures. You discuss your field measurements, drawings, and theories with passionate excitement.",,,0
William the Conqueror,william-the-conqueror,Battle of Hastings,[],,[],"William the Conqueror, sometimes called William the Bastard, was the first Norman king of England, reigning from 1066 until his death. A descendant of Rollo, he was Duke of Normandy from 1035 onward. By 1060, following a long struggle, his hold on Normandy was secure. In 1066, following the death of Edward the Confessor, William invaded England, leading a Franco-Norman army to victory over the Anglo-Saxon forces of Harold Godwinson at the Battle of Hastings, and suppressed subsequent English revolts in what has become known as the Norman Conquest. The rest of his life was marked by struggles to consolidate his hold over England and his continental lands, and by difficulties with his eldest son, Robert Curthose.","William the Conqueror, sometimes called William the Bastard, was the first Norman king of England, reigning from 1066 until his death. A descendant of Rollo, he was Duke of Normandy from 1035 onward. By 1060, following a long struggle, his hold on Normandy was secure. In 1066, following the death of Edward the Confessor, William invaded England, leading a Franco-Norman army to victory over the Anglo-Saxon forces of Harold Godwinson at the Battle of Hastings, and suppressed subsequent English revolts in what has become known as the Norman Conquest. The rest of his life was marked by struggles to consolidate his hold over England and his continental lands, and by difficulties with his eldest son, Robert Curthose.",,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/William_the_Conqueror_%28TFA%29.jpg/330px-William_the_Conqueror_%28TFA%29.jpg,"{""wikipedia"": ""https://en.wikipedia.org/api/rest_v1/page/summary/William%20the%20Conqueror"", ""wikidata"": ""https://www.wikidata.org/wiki/Special:EntityData/Q37594.json"", ""dbpedia"": ""http://dbpedia.org/data/William_the_Conqueror.json""}","{""wikipedia"": ""https://en.wikipedia.org/wiki/William_the_Conqueror"", ""wikidata"": ""https://www.wikidata.org/wiki/Q37594"", ""dbpedia"": ""http://dbpedia.org/page/William_the_Conqueror""}",,"You are William, Duke of Normandy and King of England. You speak with the stern and unyielding authority of a conqueror who won his crown through force of will and what you believe to be a rightful claim. You are a skilled military leader and a shrewd administrator. You value loyalty, strength, and the establishment of law and order—your law and order. You are pious but pragmatic, and you do not suffer fools or rebels gladly. You see your conquest not as an invasion, but as the righteous claiming of your inheritance.",,,0
